id;name;country;company;price;currency
82209;Потап Андреевич Степанов;Швеция;ОП РоссошьТрейдГрупп;89605.02;$
87710;Козлов Ипат;Сент-Люсия;ФГУП ТоргРус;87724.82;₪
96317;Горбунова Акулина Тарасовна;Сомали;ОП ЛимитедСистемс;15120.22;៛
28333;Зиновий Фокич Волков;Алжир;ТСЖ Пантелеймон;66940.57;R
35815;Лора Георгиевна Давыдова;Восточный Тимор;ИП Рубен;635.28;B/.
54110;Боброва Валентина Олеговна;Кот-д'Ивуар;ООО МоршанскЛимитед;42659.47;C$
73945;Лев Филиппов;Египет;ООО Орест;66073.1;Gs
92897;Аникита Алексеевич Уваров;Никарагуа;ИП Руслан;52869.94;Bs
97110;Агафья Жукова;Антарктика (не признана);ОАО Аникей;4896.09;лв
84806;Антип Трифонович Агафонов;Перу;ИП Измаил;36371;﷼
