id,name,country,company,price,currency
93904,Владимирова Ирина,Эстония,ГУП УсманьЛимитедГрупп,90557.6,﷼
89420,Бронислав Вилорович Капустин,Новая Зеландия,ООО БрянскРус,20420.37,$
20307,Ким Фадеевич Калашников,Лесото,ПАО Иван,23662.95,KM
82545,Бронислав Блохин,Мавритания,ГУП Власов,35487.52,Nu
6504,Светлана Богдановна Щербакова,Исландия,ГУП КалугаСбытСистемс,79378.5,﷼
3737,Тихонова Синклитикия,Сан-Марино,ТСЖ ЛимитедТрейд,30310.47,RD$
94208,София Князева,Джибути,НКО СбытРусРус,6393.53,₨
22503,Амвросий Богданович Копылов,Намибия,ИП Евсей,10212.76,kr
68974,Селезнева Иванна,Оман,ИП Татьяна,34731.86,₡
4820,Сафонова Фёкла,Израиль,ОАО СбытТорг,12799.21,﷼
